Card	Time1	Time2	Time3
510000	1.282e+006	1.2957e+006	1.2379e+006
512500	1.2799e+006	1.5146e+006	1.282e+006
515000	1.3039e+006	1.5464e+006	1.296e+006
517500	1.3374e+006	1.2729e+006	1.2837e+006
520000	1.3544e+006	1.3962e+006	1.2852e+006
522500	1.3074e+006	2.5195e+006	1.3044e+006
525000	1.3318e+006	1.321e+006	1.3334e+006
527500	1.2885e+006	1.3633e+006	1.3167e+006
530000	1.3071e+006	1.336e+006	1.2863e+006
532500	1.2969e+006	1.3398e+006	1.3388e+006
535000	1.3581e+006	1.3319e+006	1.3173e+006
537500	1.3263e+006	1.2998e+006	1.354e+006
540000	1.37e+006	1.3718e+006	1.3377e+006
542500	1.3156e+006	1.3218e+006	1.3723e+006
545000	1.3561e+006	1.339e+006	1.3408e+006
547500	1.3374e+006	1.3506e+006	1.3695e+006
550000	1.3561e+006	1.3397e+006	1.4085e+006
552500	1.3929e+006	1.3925e+006	1.3579e+006
555000	1.3437e+006	1.3848e+006	1.393e+006
557500	1.4053e+006	1.3827e+006	1.408e+006
560000	1.3832e+006	1.4171e+006	1.3608e+006
562500	1.3735e+006	1.3961e+006	1.4169e+006
565000	1.4136e+006	1.4133e+006	1.394e+006
567500	1.7104e+006	1.4353e+006	1.4225e+006
570000	1.3906e+006	1.4412e+006	1.4348e+006
572500	1.4254e+006	1.4398e+006	1.433e+006
575000	1.4297e+006	1.4427e+006	1.4115e+006
577500	1.4345e+006	1.4032e+006	1.4303e+006
580000	1.434e+006	1.427e+006	1.4121e+006
582500	1.4455e+006	1.4269e+006	1.4145e+006
585000	1.4559e+006	1.4235e+006	1.4688e+006
587500	1.4724e+006	1.4836e+006	1.4507e+006
590000	1.4874e+006	1.4736e+006	1.4412e+006
592500	1.4718e+006	1.478e+006	1.4424e+006
595000	1.4818e+006	1.4377e+006	1.4713e+006
597500	1.4791e+006	1.4866e+006	1.4574e+006
600000	1.4729e+006	1.5068e+006	1.4681e+006
602500	1.4687e+006	1.5026e+006	1.4686e+006
605000	1.5166e+006	1.515e+006	1.5181e+006
607500	1.502e+006	1.4772e+006	1.5121e+006
610000	1.5321e+006	1.5208e+006	1.5146e+006
