Card	Time1	Time2	Time3
422500	1.8341e+006	1.8341e+006	1.8346e+006
425000	2.1599e+006	1.8613e+006	2.0088e+006
427500	1.8564e+006	1.8551e+006	2.8723e+006
430000	1.8672e+006	1.8673e+006	2.7979e+006
432500	1.8778e+006	1.8768e+006	2.4591e+006
435000	1.8873e+006	1.9924e+006	2.548e+006
437500	1.8988e+006	1.9011e+006	2.6075e+006
440000	1.9139e+006	1.9098e+006	2.528e+006
442500	1.9203e+006	1.9301e+006	1.9275e+006
445000	1.9317e+006	1.9332e+006	1.9399e+006
447500	2.0096e+006	2.004e+006	1.9483e+006
450000	1.9552e+006	1.9954e+006	1.9719e+006
452500	1.9682e+006	1.997e+006	2.0283e+006
455000	1.9757e+006	2.5484e+006	1.9763e+006
457500	1.9861e+006	2.1644e+006	1.9863e+006
460000	1.9975e+006	1.9988e+006	1.9975e+006
462500	2.0188e+006	2.0105e+006	2.0074e+006
465000	2.0208e+006	2.1652e+006	2.0296e+006
467500	2.0324e+006	2.1271e+006	2.0294e+006
470000	2.0457e+006	2.0805e+006	2.0398e+006
472500	2.0517e+006	2.0546e+006	2.0512e+006
475000	2.0623e+006	2.1193e+006	2.063e+006
477500	2.0749e+006	2.3013e+006	2.0725e+006
480000	2.0838e+006	2.0857e+006	2.1013e+006
482500	2.0962e+006	2.1009e+006	2.0954e+006
485000	2.1059e+006	2.2038e+006	2.1053e+006
487500	2.1614e+006	2.1772e+006	2.1228e+006
490000	2.1382e+006	2.1521e+006	2.1276e+006
492500	2.1704e+006	2.2355e+006	2.1379e+006
495000	2.1579e+006	2.1485e+006	2.152e+006
497500	2.1715e+006	2.2678e+006	2.1598e+006
500000	2.1789e+006	2.2623e+006	2.1732e+006
502500	2.1812e+006	2.1846e+006	2.1842e+006
505000	2.1948e+006	2.2626e+006	2.1915e+006
507500	2.2025e+006	2.2641e+006	2.2044e+006
510000	2.2189e+006	2.2497e+006	2.2141e+006
512500	2.2288e+006	2.6189e+006	2.2247e+006
515000	2.3831e+006	2.7986e+006	2.2346e+006
517500	2.2859e+006	2.2677e+006	2.2461e+006
520000	2.264e+006	2.5736e+006	2.2578e+006
522500	2.271e+006	3.3386e+006	2.2707e+006
525000	2.2831e+006	2.2836e+006	2.3145e+006
527500	2.2932e+006	2.3856e+006	2.2898e+006
530000	2.3063e+006	2.3013e+006	2.3012e+006
532500	2.3121e+006	2.3272e+006	2.3126e+006
535000	2.3229e+006	2.3254e+006	2.3249e+006
537500	2.3331e+006	2.3328e+006	2.3332e+006
540000	2.3447e+006	2.3473e+006	2.3697e+006
542500	2.3928e+006	2.3559e+006	2.3547e+006
545000	2.3665e+006	2.3788e+006	2.3682e+006
547500	2.3777e+006	2.3763e+006	2.3783e+006
550000	2.4894e+006	2.3874e+006	2.3947e+006
552500	2.3993e+006	2.3988e+006	2.4039e+006
555000	2.4103e+006	2.4167e+006	2.4114e+006
557500	2.4194e+006	2.4223e+006	2.4201e+006
560000	2.4327e+006	2.4336e+006	2.4376e+006
562500	2.4498e+006	2.4457e+006	2.4463e+006
565000	2.4591e+006	2.4545e+006	2.4671e+006
567500	3.0233e+006	2.4661e+006	2.4691e+006
570000	2.4787e+006	2.4769e+006	2.48e+006
572500	2.4869e+006	2.4856e+006	2.4912e+006
575000	2.4984e+006	2.4968e+006	2.4957e+006
577500	2.5159e+006	2.5066e+006	2.5071e+006
580000	2.5649e+006	2.5518e+006	2.5174e+006
582500	2.5397e+006	2.5281e+006	2.5296e+006
585000	2.5432e+006	2.5392e+006	2.5427e+006
587500	2.5538e+006	2.5507e+006	2.5542e+006
590000	2.5613e+006	2.5719e+006	2.5617e+006
592500	2.5719e+006	2.5727e+006	2.5739e+006
595000	2.5823e+006	2.582e+006	2.5835e+006
597500	2.5945e+006	2.5929e+006	2.5944e+006
600000	2.6051e+006	2.6047e+006	2.6166e+006
602500	2.6276e+006	2.6473e+006	2.6291e+006
605000	2.6329e+006	2.6471e+006	2.6935e+006
607500	2.6367e+006	2.6408e+006	2.6377e+006
610000	2.6484e+006	2.6496e+006	2.6505e+006
612500	2.6644e+006	2.6624e+006	2.6595e+006
615000	2.6766e+006	2.6743e+006	2.6706e+006
617500	2.6874e+006	2.686e+006	2.6816e+006
620000	2.7007e+006	2.6988e+006	2.694e+006
622500	2.7109e+006	2.7031e+006	2.7041e+006
625000	2.7161e+006	2.7153e+006	2.7127e+006
627500	2.7289e+006	2.7255e+006	2.7254e+006
630000	2.7394e+006	2.7376e+006	2.7433e+006
632500	2.7557e+006	2.7461e+006	2.7456e+006
635000	2.7606e+006	2.7574e+006	2.8028e+006
637500	2.7711e+006	2.769e+006	2.7681e+006
640000	2.779e+006	2.798e+006	2.7808e+006
642500	2.7883e+006	2.7903e+006	2.7888e+006
645000	2.8003e+006	2.7992e+006	2.7994e+006
647500	2.8399e+006	2.8112e+006	2.8129e+006
650000	2.8273e+006	2.8231e+006	2.8294e+006
652500	2.835e+006	2.8373e+006	2.8318e+006
655000	2.8472e+006	2.8488e+006	2.966e+006
657500	2.8543e+006	2.8589e+006	2.8612e+006
660000	2.865e+006	2.8687e+006	2.872e+006
662500	2.8902e+006	2.8878e+006	2.8862e+006
665000	2.8888e+006	3.3544e+006	2.8894e+006
667500	2.9338e+006	3.335e+006	2.9005e+006
670000	2.9105e+006	3.2713e+006	2.9135e+006
672500	2.9195e+006	3.5854e+006	2.9231e+006
675000	2.9288e+006	2.9293e+006	2.935e+006
677500	2.9427e+006	3.0345e+006	2.9423e+006
680000	2.9554e+006	3.0973e+006	2.9555e+006
682500	2.9618e+006	2.977e+006	2.9632e+006
685000	2.9762e+006	2.9766e+006	3.5691e+006
687500	2.9847e+006	3.0256e+006	3.4088e+006
690000	2.9996e+006	4.7286e+006	3.4472e+006
692500	3.0058e+006	3.0106e+006	3.0112e+006
695000	3.0192e+006	3.0232e+006	3.0682e+006
697500	3.0306e+006	3.0329e+006	3.0349e+006
700000	3.0419e+006	3.0438e+006	3.3615e+006
702500	3.0488e+006	3.0524e+006	3.2814e+006
705000	3.0836e+006	3.1077e+006	3.088e+006
707500	3.0839e+006	3.0776e+006	3.6212e+006
710000	3.709e+006	3.0853e+006	3.0826e+006
712500	3.0987e+006	3.0977e+006	3.0941e+006
715000	3.1196e+006	3.1059e+006	3.3213e+006
717500	3.5466e+006	3.1341e+006	3.1153e+006
720000	3.1344e+006	3.1308e+006	3.128e+006
722500	3.1392e+006	3.1373e+006	3.1433e+006
725000	3.1535e+006	3.1552e+006	3.1562e+006
727500	3.1611e+006	3.1705e+006	3.163e+006
730000	3.1867e+006	5.1441e+006	3.2788e+006
732500	3.1806e+006	4.1685e+006	3.185e+006
735000	3.1951e+006	4.0206e+006	3.1957e+006
737500	3.2012e+006	4.6994e+006	3.2064e+006
740000	3.2125e+006	4.2659e+006	3.2241e+006
742500	3.2236e+006	3.4299e+006	3.2298e+006
745000	3.2561e+006	4.1995e+006	3.2343e+006
747500	3.2651e+006	3.2515e+006	3.2523e+006
750000	3.2665e+006	3.5101e+006	3.2602e+006
752500	3.2745e+006	3.5636e+006	3.2913e+006
755000	3.3171e+006	3.285e+006	3.2851e+006
757500	3.2941e+006	3.4059e+006	3.2992e+006
760000	3.3036e+006	4.7796e+006	3.3113e+006
762500	3.3145e+006	3.3323e+006	3.3129e+006
765000	3.3301e+006	3.6709e+006	3.3283e+006
767500	3.3322e+006	3.34e+006	3.3381e+006
770000	3.3476e+006	3.3481e+006	3.3422e+006
772500	3.3595e+006	3.3698e+006	3.3553e+006
775000	3.3647e+006	3.3648e+006	3.3665e+006
777500	3.3748e+006	3.3802e+006	3.3827e+006
780000	3.3971e+006	3.6903e+006	3.4034e+006
782500	3.4523e+006	3.7887e+006	3.4067e+006
785000	3.4072e+006	3.7457e+006	3.4123e+006
787500	3.4199e+006	3.7932e+006	3.4195e+006
790000	3.4327e+006	3.753e+006	5.4736e+006
792500	3.4581e+006	3.51e+006	3.4845e+006
795000	3.465e+006	3.4563e+006	3.4575e+006
797500	3.4655e+006	3.4693e+006	3.4744e+006
800000	3.4797e+006	3.4768e+006	3.4748e+006
802500	3.4907e+006	3.4997e+006	3.4874e+006
805000	3.4983e+006	3.5023e+006	3.495e+006
807500	3.5089e+006	3.5088e+006	3.5047e+006
810000	3.5226e+006	3.5156e+006	3.5295e+006
812500	3.5297e+006	3.5273e+006	3.5278e+006
815000	3.59e+006	3.5448e+006	3.565e+006
817500	3.5468e+006	3.5523e+006	3.5556e+006
820000	3.5664e+006	3.5776e+006	3.5646e+006
822500	3.5703e+006	3.5717e+006	3.57e+006
825000	3.5967e+006	3.5896e+006	3.5952e+006
827500	3.5932e+006	4.0782e+006	3.5966e+006
830000	3.62e+006	3.6046e+006	3.6026e+006
832500	3.6263e+006	3.6233e+006	3.6152e+006
835000	3.6264e+006	4.6853e+006	3.6259e+006
837500	3.6368e+006	3.6434e+006	3.6379e+006
840000	3.6476e+006	4.01e+006	3.6524e+006
842500	3.6638e+006	3.9816e+006	3.6609e+006
845000	3.7226e+006	3.7246e+006	3.7152e+006
847500	3.6831e+006	3.6851e+006	3.6926e+006
850000	3.6913e+006	3.6903e+006	4.2903e+006
852500	3.7006e+006	3.9291e+006	3.7063e+006
855000	3.7327e+006	4.3157e+006	3.7118e+006
857500	3.7283e+006	4.1077e+006	3.7275e+006
860000	3.7378e+006	4.2012e+006	4.1e+006
862500	3.748e+006	4.4657e+006	3.7822e+006
865000	3.7656e+006	4.3278e+006	3.7617e+006
867500	3.7768e+006	3.7709e+006	3.7664e+006
870000	3.7805e+006	3.7885e+006	3.7759e+006
872500	3.7924e+006	3.7959e+006	3.7897e+006
875000	3.7998e+006	3.8002e+006	3.8186e+006
877500	3.8257e+006	3.8105e+006	3.8151e+006
880000	3.8256e+006	3.8218e+006	4.2725e+006
882500	3.8333e+006	3.8374e+006	4.5708e+006
885000	3.8451e+006	3.8537e+006	4.3835e+006
887500	3.8521e+006	3.8538e+006	3.8572e+006
890000	3.8749e+006	3.864e+006	3.9262e+006
892500	3.8863e+006	4.0574e+006	4.1964e+006
895000	3.8976e+006	3.9075e+006	3.8891e+006
897500	3.9041e+006	3.9021e+006	3.8991e+006
900000	3.9927e+006	3.9095e+006	3.9119e+006
902500	3.9204e+006	3.9208e+006	3.9206e+006
905000	3.9369e+006	3.934e+006	3.9318e+006
907500	3.9431e+006	3.9473e+006	3.9725e+006
910000	3.9787e+006	3.9879e+006	3.9512e+006
912500	3.9668e+006	3.9659e+006	4.0006e+006
915000	3.9892e+006	4.0218e+006	3.9731e+006
917500	3.9863e+006	3.9933e+006	3.9985e+006
920000	3.9948e+006	3.9946e+006	3.9969e+006
922500	4.0253e+006	4.017e+006	4.005e+006
925000	4.0221e+006	4.0212e+006	4.0329e+006
927500	4.0312e+006	4.0504e+006	4.0263e+006
930000	4.0459e+006	4.0542e+006	4.0397e+006
